productores_sociedad_matricula,productores_sociedad_tipo_id,productores_sociedad_id,productores_sociedad_denominacion,ramo
985,CUIT,30710116780,BARONE GROUP S.A. ,Patrimoniales y Vida
986,CUIT,30710224508,BROKER  ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
987,CUIT,30710145276,G&A BROKER S.R.L. ,Patrimoniales y Vida
989,CUIT,30710169620,CENTRO ATENCION MORON S.R.L. ,Patrimoniales y Vida
990,CUIT,33709938059,AON AFFINITY ARGENTINA S.A. ,Patrimoniales y Vida
991,CUIT,30710288557,MIUNA ASESORES DE SEGUROS SOCIEDAD DE RESPONSABILIDAD LIMITADA ,Patrimoniales y Vida
992,CUIT,30709365548,CASTELLO - MERCURI S.A. ,Patrimoniales y Vida
993,CUIT,30709811661,ORGANIZACION STORTI - FAGGIANO S.R.L. ,Patrimoniales y Vida
994,CUIT,30710252188,WAY SEG S.A. ,Patrimoniales y Vida
995,CUIT,30710182589,MANSILLA Y ASOCIADOS SOC.COL. ,Patrimoniales y Vida
996,CUIT,30709181188,ESTRACH GROUP S.R.L. ,Patrimoniales y Vida
997,CUIT,30710302312,MADERO ASESORES DE SEGUROS S.A. ,Patrimoniales y Vida
998,CUIT,30710216327,SURLEBEN SRL. ,Patrimoniales y Vida
1001,CUIT,30710306407,FAHYCO S.A. ,Patrimoniales y Vida
1003,CUIT,30710371306,ALEA BROKER DE SEGUROS S.A. ,Patrimoniales y Vida
1005,CUIT,30710267169,CEN LITORAL SRL. ,Patrimoniales y Vida
1006,CUIT,30710277881,VITARE S.A. ,Patrimoniales y Vida
1008,CUIT,30710639368,PARRADO Y ASOCIADOS S.A. ,Patrimoniales y Vida
1009,CUIT,30710479131,NEW LEADERS S.R.L. ,Patrimoniales y Vida
1010,CUIT,30710536526,CENEFYP S.A. ,Patrimoniales y Vida
1011,CUIT,30710509235,HAWK BROKERS S.A. ,Patrimoniales y Vida
1012,CUIT,30710374429,ORGANIZACION GOLOSETTI PRODUCTORES ASESORES DE SEGURO SOCIEDAD DE RESPONSABILIDAD LIMITADA ,Articulo 19
1013,CUIT,30710351712,ASESORES ASOCIADOS S.R.L. ,Articulo 19
1014,CUIT,30710501498,A. GALANTE Y ASOCIADOS S.A. ,Patrimoniales y Vida
1015,CUIT,30710442882,R.M. BROKERS S.A. ,Patrimoniales y Vida
1016,CUIT,30710521782,NGN ASESORES EN SEGUROS S.A. ,Patrimoniales y Vida
1017,CUIT,30710545932,MENDOZA BROKER SRL. ,Patrimoniales y Vida
1018,CUIT,30710579683,ELBINGER SOCIEDAD ANONIMA ,Patrimoniales y Vida
1019,CUIT,33710621379,MAGNASCO BROKERS SRL. ,Patrimoniales y Vida
1020,CUIT,30710556721,SAS ASESORES DE SEGUROS SRL. ,Patrimoniales y Vida
1021,CUIT,30676410178,GESTORA CONDOR S.A. ,Patrimoniales y Vida
1024,CUIT,30710631960,SECURITY TOTAL S.A. ,Patrimoniales y Vida
1027,CUIT,30710533268,FRASCINETO S.R.L. ,Articulo 19
1028,CUIT,30710671229,EDGAR PIERAGOSTINI ASESORES DE SEGUROS S.R.L. ,Patrimoniales y Vida
1029,CUIT,30710578229,FULL RISK SOCIEDAD ANONIMA ,Patrimoniales y Vida
1030,CUIT,30709273570,KAZAN Y ASOCIADOS S.R.L. ,Patrimoniales y Vida
1032,CUIT,30710019416,FORRESTER VELIZ S.R.L. ,Patrimoniales y Vida
